processor,OBJECTID,V,H,dimensions_km,grid_code,xmin,ymin,xmax,ymax,centroid_latitude_dd,centroid_longitude_dd,Shape_Length,Shape_Area,dist_full,dist_boreal,dist_south,dist_temp
1,60,5,38,50x50,AK050H038V005,-349995,2150005,-299995,2200005,69.36436691,-162.1681635,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,61,5,39,50x50,AK050H039V005,-299995,2150005,-249995,2200005,69.41588537,-160.9213979,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,62,5,40,50x50,AK050H040V005,-249995,2150005,-199995,2200005,69.45891137,-159.669717,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,63,5,41,50x50,AK050H041V005,-199995,2150005,-149995,2200005,69.49339397,-158.4139856,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,64,5,42,50x50,AK050H042V005,-149995,2150005,-99995,2200005,69.51929204,-157.1550857,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,65,5,43,50x50,AK050H043V005,-99995,2150005,-49995,2200005,69.5365745,-155.8939129,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,66,5,44,50x50,AK050H044V005,-49995,2150005,5.000000004,2200005,69.54522052,-154.6313723,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,67,5,45,50x50,AK050H045V005,5.000000004,2150005,50005,2200005,69.54521966,-153.3683752,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,68,5,46,50x50,AK050H046V005,50005,2150005,100005,2200005,69.53657191,-152.1058348,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,69,5,47,50x50,AK050H047V005,100005,2150005,150005,2200005,69.51928772,-150.8446622,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,70,5,48,50x50,AK050H048V005,150005,2150005,200005,2200005,69.49338793,-149.5857629,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,71,5,49,50x50,AK050H049V005,200005,2150005,250005,2200005,69.45890361,-148.3300323,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,72,5,50,50x50,AK050H050V005,250005,2150005,300005,2200005,69.41587591,-147.0783523,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,73,5,51,50x50,AK050H051V005,300005,2150005,350005,2200005,69.36435576,-145.8315877,200000,2500000000,TRUE,TRUE,FALSE,FALSE
